status_pair,subset_name,adjusted_score,combined_internal_score,feature_penalty_multiplier,num_features,ari,silhouette,davies_bouldin,calinski_harabasz,sil_norm,db_norm,ch_norm,nmi,v_measure
"('bypassed', 'evolved')",TEC,0.9703,0.9154,1.0600,4,0.0060,0.3737,1.2536,70.1059,1.0000,0.8095,0.9367,0.0114,0.0114
"('bypassed', 'evolved')",SWQ,0.9129,0.8008,1.1400,8,-0.0223,0.2956,1.4789,73.7955,0.7935,0.6088,1.0000,0.0251,0.0251
"('bypassed', 'evolved')",COM+POP,0.8410,0.8087,1.0400,3,0.0666,0.3017,1.2511,62.4148,0.8096,0.8118,0.8046,0.0290,0.0290
"('bypassed', 'evolved')",COM,0.8404,0.8239,1.0200,2,0.0094,0.2694,1.1703,65.8454,0.7245,0.8838,0.8635,0.0213,0.0213
"('bypassed', 'evolved')",POP,0.8123,0.8123,1.0000,1,0.0177,0.3131,1.0399,50.3189,0.8399,1.0000,0.5969,0.0237,0.0237
"('bypassed', 'evolved')",POP+TEC,0.7862,0.7279,1.0800,5,0.0074,0.3262,1.4612,55.4437,0.8743,0.6245,0.6849,0.0124,0.0124
"('bypassed', 'evolved')",STA,0.7783,0.6710,1.1600,9,-0.0372,0.2448,1.1696,42.8793,0.6593,0.8844,0.4692,0.0263,0.0263
"('bypassed', 'evolved')",POP+SWQ,0.7569,0.6525,1.1600,9,-0.0123,0.2752,1.6829,61.6152,0.7396,0.4269,0.7909,0.0390,0.0390
"('bypassed', 'evolved')",POP+STA,0.7347,0.6226,1.1800,10,-0.0372,0.2244,1.1977,39.0235,0.6055,0.8593,0.4030,0.0263,0.0263
"('bypassed', 'evolved')",COM+SWQ,0.7042,0.5968,1.1800,10,-0.0187,0.2527,1.7492,58.7910,0.6802,0.3678,0.7424,0.0350,0.0350
"('bypassed', 'evolved')",SWQ+TEC,0.6596,0.5407,1.2200,12,-0.0164,0.2572,1.8806,55.1020,0.6923,0.2507,0.6791,0.0341,0.0341
"('bypassed', 'evolved')",COM+STA,0.6055,0.5046,1.2000,11,-0.0372,0.1760,1.3755,35.0642,0.4777,0.7009,0.3351,0.0263,0.0263
"('bypassed', 'evolved')",POP+SWQ+TEC,0.5990,0.4830,1.2400,13,-0.0091,0.2524,1.9848,51.1705,0.6796,0.1579,0.6116,0.0424,0.0424
"('bypassed', 'evolved')",COM+POP+SWQ,0.5982,0.4985,1.2000,11,-0.0117,0.2410,1.9129,51.8954,0.6494,0.2220,0.6240,0.0325,0.0325
"('bypassed', 'evolved')",COM+TEC,0.5904,0.5367,1.1000,6,0.0143,0.2507,1.7304,47.6131,0.6751,0.3847,0.5505,0.0145,0.0145
"('bypassed', 'evolved')",COM+SWQ+TEC,0.5795,0.4599,1.2600,14,-0.0118,0.2370,2.0001,50.3048,0.6388,0.1443,0.5967,0.0434,0.0434
"('bypassed', 'evolved')",COM+POP+STA,0.5717,0.4686,1.2200,12,-0.0372,0.1587,1.3981,32.6201,0.4320,0.6807,0.2931,0.0263,0.0263
"('bypassed', 'evolved')",COM+POP+SWQ+TEC,0.5347,0.4177,1.2800,15,-0.0066,0.2361,2.0862,47.5400,0.6364,0.0676,0.5492,0.0488,0.0488
"('bypassed', 'evolved')",STA+TEC,0.5042,0.4066,1.2400,13,-0.0369,0.1337,1.4788,29.8314,0.3658,0.6089,0.2452,0.0247,0.0247
"('bypassed', 'evolved')",POP+STA+TEC,0.4759,0.3777,1.2600,14,-0.0369,0.1182,1.4979,28.1491,0.3250,0.5919,0.2163,0.0247,0.0247
"('bypassed', 'evolved')",COM+POP+TEC,0.4074,0.3638,1.1200,7,0.0222,0.2246,1.9970,35.2567,0.6059,0.1470,0.3384,0.0169,0.0169
"('bypassed', 'evolved')",COM+STA+TEC,0.3921,0.3063,1.2800,15,-0.0369,0.0938,1.6284,26.1992,0.2606,0.4755,0.1829,0.0247,0.0247
"('bypassed', 'evolved')",COM+POP+STA+TEC,0.3679,0.2830,1.3000,16,-0.0369,0.0806,1.6443,24.9823,0.2258,0.4613,0.1620,0.0247,0.0247
"('bypassed', 'evolved')",STA+SWQ,0.2205,0.1670,1.3200,17,-0.0346,0.0544,1.8724,20.5994,0.1563,0.2581,0.0867,0.0185,0.0185
"('bypassed', 'evolved')",POP+STA+SWQ,0.2004,0.1496,1.3400,18,-0.0346,0.0437,1.8844,19.8168,0.1280,0.2474,0.0733,0.0185,0.0185
