project,COM-1,COM-2,POP-1,STA-1,STA-2,STA-3,STA-4,STA-5,STA-6,STA-7,STA-8,STA-9,TEC-1,TEC-2,TEC-3,TEC-4,SWQ-1,SWQ-2.1,SWQ-2.2,SWQ-2.3,SWQ-2.4,SWQ-2.5,SWQ-2.6,SWQ-2.7,init,end,project_url,status
apisix,901329.6034821316,27592,30442,6,125,2452,-223,5,0,-15,1044,383,2413,67462,2162,2406,0.009605313577723847,7.48,41,1,0,12,26.86967497633323,415,2020-07-15,2024-07-12,https://github.com/apache/apisix,evolved
abdera,2938138.296738281,335,61,16,34,25,1,2,1,-2,121,11,0,26165,35,1611,0.017543859649122806,55.18,40,1,0,2,9.878605181684865,274,2008-11-08,2020-11-26,https://github.com/apache/abdera,evolved
accumulo,13758961.065113984,33367,2552,14,-5,444,93,3,0,5,537,212,1473,33674,360,13050,0.02175910255790339,51.42,0,10,23,61,19.842345198603667,469,2012-03-21,2024-07-11,https://github.com/apache/accumulo,evolved
airavata,6952636.983029673,14192,324,11,341,114,0,5,0,-7,304,112,1112,46472,303,10526,0.015394894854222536,2.27,0,50,95,340,49.89738327347358,323,2012-09-19,2024-07-11,https://github.com/apache/airavata,evolved
airflow,1023938.229337128,50648,84544,10,-487,13814,-349,4,0,-18,4179,2344,9195,40952,6612,28567,0.018359836313202055,111.75,16,2,36,21,21.64810932948575,326,2018-12-19,2024-07-13,https://github.com/apache/airflow,evolved
ambari,765781.3315203603,97117,5893,14,1063,1667,6,14,0,-22,1666,301,4044,31139,2382,35483,0.04916608473943193,68.85,0,25,57,137,19.7611814247006,437,2013-11-20,2024-07-10,https://github.com/apache/ambari,evolved
any23,13348221.226230945,2182,243,13,49,55,1,2,1,-3,118,37,231,23361,168,1952,0.004649651276154288,83.04,24,1,1,2,3.243721433135106,159,2012-08-28,2023-07-02,https://github.com/apache/any23,evolved
apex-core,1396136.5372975792,2161,878,10,69,176,-45,3,1,-16,112,48,3,80363,318,5979,0.018842439386776523,49.37,29,5,8,25,7.606539640560197,533,2016-04-20,2021-04-09,https://github.com/apache/apex-core,evolved
aries,6276092.744544736,5944,383,16,1526,155,1,7,0,-16,458,52,454,6761,164,20683,0.01830544709532788,61.24,34,2,3,14,11.762656022302478,180,2010-12-15,2024-06-03,https://github.com/apache/aries,evolved
asterixdb,2026352.3108965103,5004,702,10,82,138,0,5,0,7,172,58,0,38214,930,8880,0.013585632902009785,21.82,0,15,20,116,15.093468110387764,894,2016-04-20,2024-07-12,https://github.com/apache/asterixdb,evolved
