ace,9788017.927576544,1579,77,2010-05-26 23:38:08,9,23,2,2,True,-4,67,10,0,,-1,,4022,19,1858,0.0010720897460694647,19.66,42,0,6,15,8.611501326733114,235,2011-12-21,2020-06-17,12,https://github.com/apache/ace
apisix,901329.6034821316,27592,30442,2019-04-10 02:02:05,125,2452,-223,5,False,-15,1044,383,2413,,7498,,67462,2162,2406,0.009605313577723847,7.48,41,1,0,12,26.86967497633323,415,2020-07-15,2024-07-12,12,https://github.com/apache/apisix
abdera,2938138.296738281,335,61,2009-05-21 03:21:27,34,25,1,2,True,-2,121,11,0,,-1,,26165,35,1611,0.017543859649122806,55.18,40,1,0,2,9.878605181684863,274,2008-11-08,2020-11-26,12,https://github.com/apache/abdera
accumulo,13758961.065113984,33367,2552,2011-10-06 07:00:09,-5,444,93,3,False,5,537,212,1473,,56361,,33674,360,13050,0.02175910255790339,51.42,0,10,23,61,19.842345198603667,469,2012-03-21,2024-07-11,12,https://github.com/apache/accumulo
activemq,Issues missing,Issues missing,5997,2009-05-21 01:33:45,118,1439,38,4,False,4,Commits or Issues or PRs missing,179,1515,,16514,,78961,236,14487,Issues missing,107.74,17,4,12,43,28.392892896125453,235,2007-02-06,2024-07-12,12,https://github.com/apache/activemq
airavata,6952636.983029673,14192,324,2014-01-29 08:00:06,341,114,0,5,False,-7,304,112,1112,,83692,,46472,303,10526,0.015394894854222536,2.27,0,50,95,340,49.89738327347358,323,2012-09-19,2024-07-11,12,https://github.com/apache/airavata
airflow,1023938.229337128,50648,84544,2015-04-13 18:04:58,-487,13814,-349,4,False,-18,4179,2344,9195,,41025,,40952,6612,28567,0.018359836313202055,111.75,16,2,36,21,21.64810932948575,326,2018-12-19,2024-07-13,12,https://github.com/apache/airflow
allura,Issues missing,Issues missing,285,2014-04-05 07:00:06,171,33,0,4,False,-7,Commits or Issues or PRs missing,40,0,,-1,,71850,1377,13610,Issues missing,42.72,40,0,9,11,13.989588134811962,245,2014-03-19,2024-07-10,12,https://github.com/apache/allura
ambari,765781.3315203603,97117,5893,2011-09-23 07:00:08,1063,1667,6,14,False,-22,1666,301,4044,,73203,,31139,2382,35483,0.04916608473943193,68.85,0,25,57,137,19.7611814247006,437,2013-11-20,2024-07-10,12,https://github.com/apache/ambari
any23,13348221.226230945,2182,243,2012-06-04 07:00:25,49,55,1,2,True,-3,118,37,231,,73794,,23361,168,1952,0.004649651276154288,83.04,24,1,1,2,3.243721433135106,159,2012-08-28,2023-07-02,12,https://github.com/apache/any23
apex-core,1396136.5372975792,2161,878,2015-08-25 07:00:05,69,176,-45,3,True,-16,112,48,3,,12149,,80363,318,5979,0.018842439386776523,49.37,29,5,8,25,7.6065396405601975,533,2016-04-20,2021-04-09,12,https://github.com/apache/apex-core
aries,6276092.744544736,5944,383,2009-09-30 08:00:10,1526,155,1,7,False,-16,458,52,454,,-1,,6761,164,20683,0.01830544709532788,61.24,34,2,3,14,11.762656022302478,180,2010-12-15,2024-06-03,12,https://github.com/apache/aries
asterixdb,2026352.3108965103,5004,702,2015-03-10 19:06:29,82,138,0,5,False,7,172,58,0,,-1,,38214,930,8880,0.013585632902009785,21.82,0,15,20,116,15.093468110387763,894,2016-04-20,2024-07-12,12,https://github.com/apache/asterixdb
atlas,4064172.445812565,10541,17716,2017-02-28 06:31:43,342,1476,-3,1,False,-8,511,20,204,,-1,,56893,165,1805,0.03426157141673669,4.77,0,34,24,146,37.58379160014407,1391,2017-06-21,2024-07-02,12,https://github.com/alibaba/atlas
