ace,9788017.927576544,644,77,2010-05-26 23:38:08,-15,23,0,2,True,1,40,4,0,,-1,,4022,19,1858,0.0010720897460694647,19.66,42,0,6,15,8.611501326733114,235,2009-04-24,2011-12-21,12,https://github.com/apache/ace
abdera,2938138.296738281,608,61,2009-05-21 03:21:27,286,25,0,2,True,0,76,5,0,,-1,,26165,35,1611,0.017543859649122806,55.18,40,1,0,2,9.878605181684863,274,2006-06-06,2008-11-08,12,https://github.com/apache/abdera
airavata,6952636.983029673,1571,324,2014-01-29 08:00:06,-266,114,0,5,False,3,61,3,1112,,83692,,46472,303,10526,0.015394894854222536,2.27,0,50,95,340,49.89738327347358,323,2011-05-05,2012-09-19,12,https://github.com/apache/airavata
age,3819620.014249615,590,6087,2020-07-01 06:15:47,5,401,14,5,False,8,77,17,578,,63875,,81544,269,1188,0.0007904797493460576,5.09,35,2,11,20,15.380107166778298,279,2020-04-29,2022-05-18,12,https://github.com/apache/age
apisix,901329.6034821316,2035,30442,2019-04-10 02:02:05,-15,2452,29,5,False,-5,161,32,2413,,7498,,67462,2162,2406,7.663814024779666e-05,7.48,41,1,0,12,26.86967497633323,415,2019-10-17,2020-07-15,12,https://github.com/apache/apisix
accumulo,13758961.065113984,1190,2552,2011-10-06 07:00:09,-40,444,0,3,False,1,82,0,1473,,56361,,33674,360,13050,0.02175910255790339,51.42,0,10,23,61,19.842345198603667,469,2011-09-12,2012-03-21,12,https://github.com/apache/accumulo
activemq,Issues missing,Issues missing,5997,2009-05-21 01:33:45,299,1439,0,4,False,-6,Commits or Issues or PRs missing,6,1515,,16514,,78961,236,14487,Issues missing,107.74,17,4,12,43,28.392892896125453,235,2005-12-01,2007-02-06,12,https://github.com/apache/activemq
airflow,1023938.229337128,486,84544,2015-04-13 18:04:58,-6,13814,122,4,False,72,933,491,9195,,41025,,40952,6612,28567,0.0,111.75,16,2,36,21,21.64810932948575,326,2016-03-31,2018-12-19,12,https://github.com/apache/airflow
allura,Issues missing,Issues missing,285,2014-04-05 07:00:06,22,33,0,4,False,1,Commits or Issues or PRs missing,25,0,,-1,,71850,1377,13610,Issues missing,42.72,40,0,9,11,13.989588134811962,245,2012-06-25,2014-03-19,12,https://github.com/apache/allura
ambari,765781.3315203603,11849,5893,2011-09-23 07:00:08,-712,1667,1,14,False,22,208,12,4044,,73203,,31139,2382,35483,0.04916608473943193,68.85,0,25,57,137,19.7611814247006,437,2011-08-30,2013-11-20,12,https://github.com/apache/ambari
amber,1416990.0503432495,0,5340,2017-04-17 18:02:35,0,204,0,3,False,0,0,0,674,,1731,,45152,187,1306,0.0,0.15,0,0,0,0,7.993363999698364,21,2010-05-09,2013-01-16,12,https://github.com/amberframework/amber
any23,13348221.226230945,514,243,2012-06-04 07:00:25,-88,55,0,2,True,2,32,2,231,,73794,,23361,168,1952,0.004649651276154288,83.04,24,1,1,2,3.243721433135106,159,2011-10-01,2012-08-28,12,https://github.com/apache/any23
apex-core,1396136.5372975792,1821,878,2015-08-25 07:00:05,174,176,-60,3,True,-5,93,13,3,,12149,,80363,318,5979,0.018842439386776523,49.37,29,5,8,25,7.6065396405601975,533,2015-08-17,2016-04-20,12,https://github.com/apache/apex-core
activemq-apollo,2006277.8695652173,68,375,2011-01-28 08:00:12,0,71,0,1,True,0,8,0,0,,-1,,3439,231,2039,0.0011686443725278676,22.47,35,1,7,13,9.322922125563359,226,2004-11-08,2005-06-03,12,https://github.com/apache/activemq-apollo
aries,6276092.744544736,1267,383,2009-09-30 08:00:10,-352,155,0,7,False,-3,97,11,454,,-1,,6761,164,20683,0.01830544709532788,61.24,34,2,3,14,11.762656022302478,180,2009-09-22,2010-12-15,12,https://github.com/apache/aries
asterixdb,2026352.3108965103,1437,702,2015-03-10 19:06:29,-74,138,1,5,False,1,65,7,0,,-1,,38214,930,8880,0.013585632902009785,21.82,0,15,20,116,15.093468110387763,894,2015-02-28,2016-04-20,12,https://github.com/apache/asterixdb
atlas,4064172.445812565,7844,17716,2017-02-28 06:31:43,-420,1476,6,1,False,19,337,0,204,,-1,,56893,165,1805,0.03426157141673669,4.77,0,34,24,146,37.58379160014407,1391,2015-05-05,2017-06-21,12,https://github.com/alibaba/atlas
aurora,4232884.336787762,3290,8243,2022-08-19 13:39:16,0,633,0,1,False,0,108,0,386,,-1,,45940,62,358,0.10753424657534247,0.0,5,0,0,0,16.552894442516102,71,2013-10-01,2015-03-18,12,https://github.com/linhaojun857/aurora
beam,11782722.634169074,4666,19564,2016-02-02 08:00:06,116,4198,415,36,False,9,401,39,6636,,13153,,454,5894,79745,0.008989920754626637,75.63,0,17,79,149,12.888702257245757,2003,2016-02-01,2016-12-21,12,https://github.com/apache/beam
bval,7829269.789685184,400,107,2011-02-02 08:00:07,126,29,0,2,False,-3,31,5,141,,-1,,71588,67,1561,0.037832929782082324,32.81,12,0,0,0,5.550424049038543,67,2010-03-01,2012-02-15,12,https://github.com/apache/bval
Bigtop,2239355.087712103,2658,1685,2011-08-04 16:09:56,-35,497,0,5,False,-1,99,3,528,,7303,,68013,421,3824,0.04199438481909958,202.59,6,0,1,0,12.363922038083125,83,2011-06-20,2012-09-19,12,https://github.com/apache/Bigtop
Bloodhound,Issues missing,Issues missing,329,2013-04-08 07:20:19,-131,37,0,1,True,2,Commits or Issues or PRs missing,3,0,,-1,,46401,71,1483,Issues missing,33.49,6,7,6,28,14.788732394366198,339,2011-12-23,2013-03-20,12,https://github.com/apache/Bloodhound
brooklyn,5337527.811984751,1098,346,2015-12-02 08:00:06,27,70,0,1,True,3,62,10,6,,-1,,26297,83,2506,0.5772151898734177,0.0,0,0,0,0,0.0,0,2014-05-01,2015-11-18,12,https://github.com/apache/brooklyn
Buildr,14307120.323351242,892,368,2009-05-21 03:16:15,-90,90,0,3,True,2,84,0,435,,-1,,71886,7,4393,0.04629035706649562,7.7,27,0,4,3,11.341433039050175,106,2007-11-01,2009-02-23,12,https://github.com/apache/Buildr
cxf,5305442.43280377,3837,3135,2014-02-19 08:00:08,0,1427,0,2,False,0,329,0,540,,22704,,81450,987,38174,0.04029562748024903,122.24,0,1,18,78,10.954682545820122,270,2006-08-15,2008-04-16,12,https://github.com/apache/cxf
calcite,2703570.3499742015,3752,11246,2014-06-25 07:00:07,6,2314,34,2,False,5,180,21,1586,,25377,,74996,1073,4904,0.03934204004006029,51.01,0,6,34,64,5.842364724754489,474,2014-05-19,2015-10-22,12,https://github.com/apache/calcite
carbondata,2573552.0577221178,2488,3562,2016-06-28 07:00:06,-38,704,186,6,False,24,227,18,257,,-1,,38704,852,5208,0.027771365252320053,69.03,0,11,6,97,11.891818223117344,361,2016-06-02,2017-04-19,12,https://github.com/apache/carbondata
cassandra,3227039.5237649814,6021,20788,2009-05-21 02:10:09,-301,3572,0,10,False,2,184,2,789,,49549,,34656,15937,15638,0.024783786973758208,96.35,12,3,31,46,5.020485683911272,420,2009-01-01,2010-02-17,12,https://github.com/apache/cassandra
