ant-antlibs-dotnet,Issues missing,Issues missing,17,2014-05-28 07:00:08,3,7,PRs missing,1,True,-2,Commits or Issues or PRs missing,1,0,,PRs missing,,PRs missing,0,103,Issues missing,47.69,3,0,0,0,4.003813155386082,60,2014-05-28,2019-05-26,12,https://github.com/apache/ant-antlibs-dotnet
ant,Issues missing,Issues missing,1256,2014-05-28 07:00:08,34,426,1,3,False,-2,Commits or Issues or PRs missing,81,1,,-1,,3047,192,17094,Issues missing,25.15,4,2,12,36,12.69653046134959,217,2014-05-28,2024-08-18,12,https://github.com/apache/ant
ant-antlibs-antunit,Issues missing,Issues missing,30,2014-05-28 07:00:07,4,14,0,1,True,-2,Commits or Issues or PRs missing,6,0,,-1,,23109,0,247,Issues missing,25.4,0,0,0,0,15.920826161790018,38,2014-05-28,2022-02-13,12,https://github.com/apache/ant-antlibs-antunit
arrow,6105807.218980744,172658,31660,2016-02-17 08:00:23,-414,3440,-69,16,False,64,4332,1159,4720,,39226,,31414,2985,14447,0.030750376306903707,58.26,0,40,120,155,16.830452257014468,500,2016-02-17,2024-08-23,12,https://github.com/apache/arrow
avro,6462805.389824351,24414,7343,2009-05-21 02:48:37,-154,1609,62,5,False,27,2227,396,1483,,74086,,77339,2012,4400,0.050220315737255244,70.15,19,1,13,28,10.676940569734624,155,2009-05-21,2024-08-22,12,https://github.com/apache/avro
camel,3466323.3808316793,73584,15833,2009-05-21 00:25:36,-551,4923,332,4,False,51,5075,1364,37112,,3255,,996,2416,86494,0.006894253222267562,101.83,0,24,36,145,16.844756417986293,482,2009-05-21,2024-08-22,12,https://github.com/apache/camel
causeway,10041257.887861514,28985,1970,2012-11-30 08:00:24,-548,298,164,2,False,6,178,57,9310,,79693,,79181,484,27738,0.002954406881229703,14.53,37,1,41,15,6.109513094713401,616,2012-11-30,2024-08-19,12,https://github.com/apache/causeway
chainsaw,13880396.284291668,57,56,2009-05-20 02:00:33,3,20,2,2,True,-1,18,2,0,,-1,,-1,18,959,0.010724852071005916,3.49,23,2,3,20,6.5761435155359536,1306,2009-05-20,2022-08-11,12,https://github.com/apache/chainsaw
commons-exec,Issues missing,Issues missing,364,2011-10-15 07:00:08,-54,82,17,2,False,2,Commits or Issues or PRs missing,21,0,,-1,,73302,77,2202,Issues missing,86.23,2,0,0,0,5.225125069483046,70,2011-10-15,2024-08-18,12,https://github.com/apache/commons-exec
commons-rdf,Issues missing,Issues missing,132,2015-03-19 07:00:05,120,42,10,2,False,-2,Commits or Issues or PRs missing,21,0,,-1,,32295,229,1532,Issues missing,70.99,2,0,0,0,5.264655663062038,91,2015-03-19,2024-08-21,12,https://github.com/apache/commons-rdf
ant-antlibs-compress,4619455.024900312,2479,17,2014-05-28 07:00:08,12,7,PRs missing,1,True,-2,Commits or Issues or PRs missing,5,0,,PRs missing,,PRs missing,0,341,0.2650363516192994,108.97,3,0,0,0,10.563564875491481,91,2014-05-28,2024-08-14,12,https://github.com/apache/ant-antlibs-compress
datafusion,1673882.7559633027,19551,12655,2021-04-17 15:40:23,-416,1087,208,9,False,83,644,319,2500,,4981,,30866,1825,7333,0.0,15.91,40,1,55,124,18.39637509850276,944,2021-04-17,2024-08-22,12,https://github.com/apache/datafusion
fluo-recipes,26471166.333333332,70,57,2015-09-04 01:24:21,40,21,-21,2,True,-3,9,7,1,,0,,50106,69,132,0.0,80.07,1,0,0,1,3.068862275449102,102,2015-09-04,2023-06-15,12,https://github.com/apache/fluo-recipes
fluo-yarn,3627846.9853580017,55397,22,2017-08-04 15:35:16,8,12,-7,2,True,-2,789,4,0,,2,,936,10,18,63.20253164556962,0.0,0,0,0,0,0.0,57,2017-08-04,2024-08-18,12,https://github.com/apache/fluo-yarn
ws-axiom,6258837.837991735,60,39,2019-10-31 14:26:11,-39,21,26,1,False,1,30,7,0,,-1,,83528,176,5366,0.01913947328969067,14.22,39,2,6,12,15.14987092849274,1129,2019-10-31,2024-08-21,12,https://github.com/apache/ws-axiom
axis-axis2-java-core,5801237.253025251,445,89,2020-03-20 01:50:14,-60,33,18,8,False,4,88,7,0,,-1,,79950,716,17534,0.059420966612187716,62.62,0,19,28,120,18.393374741200827,354,2020-03-20,2024-08-22,12,https://github.com/apache/axis-axis2-java-core
xmlgraphics-batik,7808663.145336529,1587,557,2009-05-21 02:32:14,-6,139,0,3,False,-1,449,10,0,,-1,,30790,86,3742,0.007247774524072548,10.21,0,18,23,104,20.459696119712806,735,2009-05-21,2024-08-06,12,https://github.com/apache/xmlgraphics-batik
bookkeeper,8467895.42847231,15325,4668,2011-04-06 07:00:07,-174,896,5,3,False,22,450,240,2001,,9003,,30997,1389,4135,0.0046771917156267434,78.14,35,2,13,23,9.304498731811508,196,2011-04-06,2024-08-21,12,https://github.com/apache/bookkeeper
buildstream,617766.6054660126,16727,187,2021-02-02 09:34:19,51,27,-31,1,False,-1,33,16,214,,-1,,38838,279,10976,0.0,65.94,42,0,5,4,11.140861888048631,153,2021-02-02,2024-08-15,12,https://github.com/apache/buildstream
commons-bcel,10367110.317262987,905,608,2013-07-13 07:00:12,-120,124,8,4,False,5,131,37,0,,-1,,29950,127,2857,0.028918830101873152,30.95,39,4,3,9,5.943045810978126,314,2013-07-13,2024-08-21,12,https://github.com/apache/commons-bcel
commons-beanutils,7460743.045544204,527,761,2013-06-12 07:00:16,-63,201,18,4,False,3,154,25,0,,-1,,17928,104,2268,0.04978017302510282,167.32,20,0,0,2,11.069666706774155,150,2013-06-12,2024-08-21,12,https://github.com/apache/commons-beanutils
commons-bsf,9775730.864628572,26,68,2013-07-12 07:00:16,-34,20,9,2,False,1,20,10,0,,-1,,63721,27,1011,0.0032600821057715526,11.18,13,0,0,5,6.209530134484476,252,2013-07-12,2024-08-16,12,https://github.com/apache/commons-bsf
commons-chain,6880383.3459673915,9,197,2013-07-12 07:00:17,2,53,3,2,False,-1,15,7,0,,-1,,52258,45,708,0.02233389168062535,53.99,1,0,2,0,28.344155844155843,50,2013-07-12,2023-10-24,12,https://github.com/apache/commons-chain
commons-cli,9518509.509413559,742,868,2009-05-28 08:00:15,-62,186,8,4,False,4,229,45,0,,66005,,72305,112,1660,0.05810310452862432,122.42,7,0,0,0,3.7932930181418363,64,2009-05-28,2024-08-21,12,https://github.com/apache/commons-cli
commons-codec,4344142.4088184815,1565,1145,2009-05-21 01:20:25,53,231,13,1,False,-1,222,46,16,,1,,24396,191,2715,0.027340370306281364,133.53,14,1,0,2,6.039774122268598,203,2009-05-21,2024-08-21,12,https://github.com/apache/commons-codec
commons-collections,6052142.282312416,2194,1798,2009-05-21 01:12:20,-246,458,13,3,False,4,395,82,51,,30139,,68964,154,4643,0.01758862662899845,116.73,22,0,2,1,16.964885752688172,141,2009-05-21,2024-08-21,12,https://github.com/apache/commons-collections
commons-compress,4619455.024900312,3162,910,2011-10-15 07:00:08,-105,258,26,2,False,3,448,96,6,,-1,,27558,226,5167,0.005688669475535884,62.12,35,1,3,14,5.460200437737588,229,2011-10-15,2024-08-21,12,https://github.com/apache/commons-compress
